Year,Country of Residence,Country Population,Syrian Refugees,
2014,Pakistan,185044286,16,
2014,Peru,30973148,20,
2014,Philippines,99138690,19,
2014,Papua New Guinea,7463577,NA,
2014,Poland,38011735,240,
2014,Portugal,10401062,15,
2014,Paraguay,6552518,7,
2014,Qatar,2172065,14,
2014,Romania,19904360,1278,
2014,Russian Federation,143819569,1927,
2014,Saudi Arabia,30886545,18,
2014,Sudan,39350274,797,
2014,Senegal,14672557,0,
2014,Somalia,10517569,0,
2014,Serbia and Kosovo,"1,859,203",600000,
2014,South Sudan,11911184,0,
2014,Slovakia,"5,415,949",40,
2014,Slovenia,2061980,20,
2014,Sweden,9696110,34285,
2014,Chad,13587053,15,
2014,Togo,7115163,0,
2014,Thailand,67725979,82,
2014,Trinidad and Tobago,1354483,8,
2014,Tunisia,10996600,558,
2014,Turkey,75932348,1557899,
2014,Uganda,37782971,NA,
2014,Ukraine,45362900,341,
2014,Uruguay,3419516,48,
2014,United States,318857056,4750,
2014,Venezuela (Bolivarian Republic of),"30,693,827",0,
2014,Yemen,"25,133,492",2276,
2014,South Africa,54001953,28,
2014,Zambia,15721343,NA,
